X	Y
continuous	continuous
	
0.014	0.220
0.048	0.153
-0.046	0.228
0.008	0.194
0.048	0.239
0.014	0.188
-0.014	0.166
-0.016	0.227
-0.005	0.214
-0.022	0.160
-0.001	0.203
-0.044	0.244
-0.015	0.228
0.015	0.230
0.000	0.238
0.034	0.254
-0.016	0.270
0.001	0.288
0.045	0.243
-0.001	0.244
0.003	0.184
-0.036	0.261
0.063	0.197
0.051	0.173
-0.007	0.248
0.024	0.207
0.049	0.267
0.027	0.223
0.033	0.237
-0.090	0.221
0.002	0.204
0.003	0.198
0.016	0.228
-0.025	0.215
-0.034	0.284
-0.035	0.243
-0.012	0.200
0.032	0.214
-0.009	0.225
0.017	0.312
0.022	0.318
0.013	0.310
-0.008	0.311
0.014	0.346
0.025	0.371
-0.048	0.399
0.085	0.284
0.036	0.309
-0.001	0.339
0.009	0.359
0.031	0.344
0.010	0.359
0.041	0.304
-0.000	0.308
0.009	0.356
0.012	0.373
0.050	0.338
0.114	0.316
0.044	0.375
0.082	0.369
0.061	0.376
0.076	0.358
0.101	0.314
0.086	0.351
0.071	0.338
0.100	0.378
0.017	0.391
0.110	0.376
-0.005	0.356
0.021	0.375
0.018	0.452
0.025	0.355
0.046	0.377
0.151	0.354
0.026	0.393
0.052	0.386
0.028	0.400
0.065	0.401
0.075	0.363
0.077	0.332
0.014	0.437
0.063	0.410
0.088	0.393
-0.036	0.438
0.004	0.393
0.047	0.306
0.017	0.440
0.046	0.407
0.084	0.435
0.057	0.452
0.057	0.481
-0.013	0.463
0.050	0.415
0.066	0.428
0.046	0.505
0.061	0.462
0.029	0.391
0.042	0.503
0.063	0.408
0.056	0.521
-0.019	0.455
0.009	0.511
0.038	0.416
0.051	0.471
0.031	0.516
0.050	0.446
0.080	0.534
-0.023	0.522
0.068	0.371
-0.004	0.471
0.041	0.483
0.091	0.492
0.005	0.483
0.033	0.545
0.064	0.469
0.017	0.526
0.018	0.601
0.010	0.509
0.057	0.448
0.076	0.474
0.031	0.498
0.092	0.527
0.066	0.581
0.057	0.532
0.053	0.547
0.058	0.568
0.060	0.555
0.044	0.536
0.052	0.591
0.116	0.601
0.081	0.569
0.061	0.506
0.024	0.579
0.051	0.522
0.040	0.532
0.028	0.588
0.073	0.634
0.054	0.553
-0.006	0.635
0.069	0.624
0.092	0.583
0.051	0.571
0.089	0.574
0.045	0.600
0.101	0.597
0.068	0.654
0.107	0.668
0.061	0.638
0.079	0.655
0.059	0.655
0.059	0.668
0.094	0.636
0.048	0.697
0.144	0.639
0.133	0.632
0.109	0.590
0.043	0.668
0.083	0.707
0.078	0.671
0.090	0.683
0.068	0.637
0.129	0.647
0.109	0.724
0.097	0.635
0.104	0.626
0.106	0.644
0.111	0.635
0.123	0.643
0.122	0.615
0.156	0.688
0.133	0.667
0.135	0.674
0.143	0.661
0.100	0.767
0.147	0.705
0.137	0.641
0.104	0.679
0.123	0.723
0.069	0.720
0.155	0.709
0.178	0.723
0.137	0.663
0.071	0.708
0.222	0.742
0.109	0.703
0.163	0.693
0.163	0.732
0.172	0.734
0.158	0.732
0.197	0.715
0.076	0.758
0.124	0.720
0.190	0.739
0.147	0.733
0.153	0.699
0.074	0.772
0.129	0.750
0.162	0.689
0.178	0.761
0.156	0.791
0.122	0.777
0.236	0.744
0.172	0.740
0.125	0.744
0.250	0.752
0.127	0.753
0.132	0.738
0.210	0.791
0.237	0.788
0.132	0.752
0.182	0.793
0.139	0.757
0.198	0.835
0.151	0.773
0.158	0.762
0.127	0.729
0.179	0.789
0.249	0.736
0.158	0.764
0.207	0.820
0.160	0.764
0.158	0.808
0.187	0.823
0.181	0.783
0.195	0.816
0.245	0.775
0.202	0.762
0.213	0.761
0.239	0.831
0.207	0.852
0.189	0.819
0.128	0.754
0.239	0.829
0.166	0.813
0.208	0.759
0.194	0.770
0.191	0.817
0.130	0.838
0.171	0.847
0.187	0.850
0.187	0.786
0.187	0.832
0.194	0.824
0.228	0.841
0.133	0.829
0.195	0.811
0.271	0.811
0.187	0.820
0.212	0.848
0.178	0.821
0.202	0.887
0.223	0.825
0.248	0.854
0.221	0.835
0.226	0.824
0.224	0.814
0.212	0.818
0.303	0.820
0.293	0.850
0.203	0.832
0.191	0.793
0.261	0.787
0.228	0.847
0.204	0.889
0.239	0.873
0.264	0.917
0.246	0.857
0.274	0.866
0.232	0.825
0.263	0.852
0.203	0.794
0.289	0.900
0.312	0.808
0.298	0.815
0.276	0.943
0.304	0.856
0.327	0.874
0.285	0.761
0.363	0.812
0.307	0.851
0.362	0.834
