X	Y
continuous	continuous
	class
	
-0.043	0.303
0.005	0.276
0.031	0.277
0.037	0.319
0.020	0.314
-0.013	0.293
0.046	0.298
-0.014	0.329
-0.000	0.267
-0.011	0.301
0.041	0.316
0.027	0.281
0.043	0.300
0.022	0.317
0.005	0.305
0.037	0.329
0.024	0.330
0.033	0.305
0.055	0.352
0.025	0.343
0.055	0.321
0.021	0.302
0.014	0.318
0.014	0.356
0.013	0.338
0.055	0.311
0.030	0.344
0.024	0.355
0.047	0.327
-0.013	0.306
0.019	0.305
0.036	0.334
0.009	0.317
0.021	0.345
0.029	0.326
0.014	0.343
0.067	0.345
0.028	0.352
0.060	0.338
0.039	0.340
0.018	0.336
0.034	0.364
0.027	0.365
0.044	0.348
0.035	0.322
0.039	0.364
0.033	0.403
0.037	0.393
0.030	0.360
0.012	0.376
0.057	0.358
0.065	0.349
0.001	0.353
0.023	0.401
0.070	0.382
0.064	0.335
0.068	0.402
0.037	0.409
0.067	0.445
0.042	0.436
0.066	0.421
0.073	0.448
0.066	0.411
0.103	0.446
0.072	0.445
0.114	0.479
0.095	0.411
0.093	0.451
0.109	0.447
0.120	0.475
0.083	0.498
0.112	0.473
0.094	0.519
0.148	0.501
0.151	0.520
0.128	0.498
0.101	0.527
0.170	0.506
0.208	0.534
0.173	0.508
0.116	0.494
0.138	0.515
0.177	0.538
0.141	0.529
0.170	0.549
0.130	0.504
0.169	0.503
0.136	0.551
0.156	0.541
0.135	0.541
0.153	0.521
0.172	0.530
0.198	0.542
0.169	0.567
0.173	0.526
0.119	0.534
0.205	0.501
0.160	0.503
0.092	0.527
0.136	0.521
0.125	0.529
0.190	0.538
0.142	0.550
0.126	0.565
0.138	0.510
0.135	0.525
0.158	0.506
0.115	0.584
0.195	0.523
0.168	0.592
0.153	0.542
0.142	0.531
0.165	0.517
0.145	0.565
0.134	0.562
0.150	0.581
0.145	0.572
0.147	0.571
0.172	0.541
0.135	0.563
0.142	0.576
0.096	0.551
0.156	0.537
0.088	0.571
0.129	0.570
0.145	0.598
0.165	0.558
0.146	0.582
0.156	0.603
0.139	0.634
0.147	0.583
0.172	0.596
0.195	0.625
0.213	0.603
0.163	0.616
0.168	0.622
0.244	0.599
0.193	0.625
0.201	0.636
0.179	0.653
0.226	0.662
0.232	0.682
0.240	0.654
0.224	0.660
0.246	0.655
0.242	0.694
0.251	0.650
0.250	0.650
0.283	0.660
0.230	0.693
0.271	0.708
0.262	0.686
0.294	0.675
0.268	0.695
0.257	0.657
0.252	0.697
0.282	0.690
0.292	0.679
0.297	0.670
0.269	0.712
0.308	0.674
0.288	0.707
0.348	0.729
0.276	0.696
0.311	0.700
0.315	0.708
0.296	0.704
0.293	0.712
0.310	0.728
0.341	0.717
0.320	0.745
0.323	0.688
0.314	0.732
0.320	0.728
0.340	0.718
0.325	0.692
0.351	0.714
0.321	0.715
0.365	0.722
0.337	0.705
0.359	0.669
0.348	0.695
0.386	0.677
0.368	0.685
0.368	0.704
0.390	0.674
0.409	0.660
0.420	0.665
0.379	0.676
0.392	0.671
0.403	0.644
0.395	0.657
0.425	0.673
0.435	0.644
0.404	0.667
0.405	0.638
0.421	0.671
0.362	0.630
0.446	0.659
0.434	0.655
0.378	0.609
0.431	0.627
0.390	0.647
0.430	0.646
0.392	0.623
0.430	0.672
0.425	0.631
0.415	0.629
0.427	0.587
0.420	0.619
0.425	0.625
0.433	0.645
0.447	0.605
0.388	0.626
0.428	0.573
0.442	0.628
0.467	0.580
0.442	0.622
0.499	0.618
0.454	0.607
0.474	0.595
0.432	0.605
0.481	0.581
0.476	0.565
0.485	0.563
0.476	0.592
0.474	0.591
0.462	0.631
0.500	0.581
0.493	0.570
0.461	0.558
0.448	0.595
0.501	0.547
0.482	0.552
0.490	0.494
0.518	0.557
0.498	0.514
0.482	0.546
0.495	0.515
0.472	0.540
0.574	0.528
0.527	0.489
0.498	0.515
0.519	0.510
0.535	0.500
0.510	0.531
0.539	0.511
0.537	0.469
0.561	0.459
0.586	0.471
0.552	0.466
0.566	0.465
0.576	0.447
0.595	0.493
0.618	0.468
0.614	0.451
0.632	0.458
0.601	0.445
0.595	0.446
0.652	0.448
0.653	0.495
0.625	0.470
0.640	0.446
0.635	0.445
0.678	0.494
0.626	0.521
0.629	0.477
0.637	0.476
0.660	0.493
0.672	0.467
0.633	0.512
0.699	0.514
0.691	0.496
0.670	0.528
0.692	0.544
0.691	0.553
0.663	0.552
0.704	0.550
0.699	0.567
0.719	0.532
0.672	0.563
0.724	0.570
0.738	0.561
0.743	0.559
0.707	0.592
0.735	0.593
0.719	0.556
